Peacetika,Old Gold (1989-91),Cows,252.4ø
Little Nut Tree,Let's Do Rocksteady: The Story Of Rocksteady 1966-68,The Melodians,143.5ø
Walter Winchell Rhumba,Walter Winchell Rhumba,Xavier Cugat,136.7ø
Thanks For The Dream (MI Sueno Azul),16 Most Requested Songs,Xavier Cugat,168.7ø
Rhumba At The Waldorf,16 Most Requested Songs,Xavier Cugat,181.4ø
Oye Negra,Rumba Rumba,Xavier Cugat,157.4ø
Brazil (Aquarela Do Brasil),Classic Years,Xavier Cugat,172.7ø
Traffic,some furtive years  -  a ned's anthology,Ned's Atomic Dustbin,210.8ø
Talk Me Down,Brainbloodvolume,Ned's Atomic Dustbin,210.9ø
Song Eleven Could Take Forever,some furtive years  -  a ned's anthology,Ned's Atomic Dustbin,202.6ø
I Want It Over,Brainbloodvolume,Ned's Atomic Dustbin,238.4ø
Floote,Intact - The Singles Collection,Ned's Atomic Dustbin,177.0ø
Borehole,Brainbloodvolume,Ned's Atomic Dustbin,205.8ø
Vertigate #2,Zoroaster,Acid King,153.4ø
Vertigate #1,Zoroaster,Acid King,227.9ø
Tank,Zoroaster,Acid King,233.4ø
Reload,Zoroaster,Acid King,202.3ø
Queen Of Sickness,Zoroaster,Acid King,315.3ø
One Ninety-Six,The Early Years,Acid King,262.4ø
If I Burn,Zoroaster,Acid King,223.8ø
Fruit Cup,Zoroaster,Acid King,120.0ø
Evil Satan,Zoroaster,Acid King,475.8ø
Dry Run,Zoroaster,Acid King,256.3ø
Tag Along,Thunderstorms and Neon Signs,Wayne Hancock,138.3ø
She's My Baby,Thunderstorms and Neon Signs,Wayne Hancock,151.4ø
Poor Boy Blues,Thunderstorms and Neon Signs,Wayne Hancock,140.9ø
Friday and Saturday Night,Thunderstorms and Neon Signs,Wayne Hancock,156.2ø
Cold Lonesome Wind,Thunderstorms and Neon Signs,Wayne Hancock,264.1ø
Ain't Nobody's Blues But My Own,Thunderstorms and Neon Signs,Wayne Hancock,246.9ø
Un Temps De Chien,Les Ronds De Carotte,Thomas Fersen,222.5ø
Louise,Les Ronds De Carotte,Thomas Fersen,140.5ø
Les Ronds De Carotte,Les Ronds De Carotte,Thomas Fersen,164.5ø
L'Escalier,Les Ronds De Carotte,Thomas Fersen,105.2ø
Hugo A La Bougie,Les Ronds De Carotte,Thomas Fersen,154.0ø
Talk Show,"E"" Is For Everything On Fat Wreck Chords",Bracket,165.6ø
Wipe It Up,From The Bottom Up,Brownstone,206.5ø
True To Me,From The Bottom Up,Brownstone,231.5ø
Sometimes Dancin',From The Bottom Up,Brownstone,302.4ø
Pass The Lovin',From The Bottom Up,Brownstone,233.4ø
Party Wit Me,From The Bottom Up,Brownstone,283.6ø
If You Love Me,From The Bottom Up,Brownstone,306.4ø
I Can't Tell You Why,Brownstone: Super Hits,Brownstone,184.2ø
Half Of You,From The Bottom Up,Brownstone,342.5ø
Grapevyne,From The Bottom Up,Brownstone,338.7ø
Fruit Of Life,From The Bottom Up,Brownstone,314.8ø
Don't Cry For Me,Brownstone: Super Hits,Brownstone,319.5ø
Deeper Feelings (Ooh La La),From The Bottom Up,Brownstone,330.4ø
H Eyes,The Crack/Grin And Bear It,The Ruts,167.1ø
Funeral,Soul Food,Goodie MoB,54.1ø
Blood,Soul Food,Goodie MoB,53.5ø
Tyfho,Thrill Pistol / Wazbones,Tigertailz,230.5ø
The Final Solution,Thrill Pistol / Wazbones,Tigertailz,285.1ø
Show Me,Thrill Pistol / Wazbones,Tigertailz,195.1ø
Make Me Bleed,Beserk 2.0,Tigertailz,350.5ø
Love Junkie,Thrill Pistol / Wazbones,Tigertailz,219.1ø
Love Can Kill,Thrill Pistol / Wazbones,Tigertailz,265.5ø
I Believe,Beserk 2.0,Tigertailz,326.5ø
Dirty Needlez,Thrill Pistol / Wazbones,Tigertailz,248.5ø
What Have I Done Wrong?,Homegrown,Dodgy,113.2ø
We Are Together,Homegrown,Dodgy,263.8ø
Waiting For The Day,Homegrown,Dodgy,215.1ø
Staying Out For The Summer (Summer '95),Ace A's + Killer B's,Dodgy,185.9ø
So Let Me Go Far,So Far On Three Wheels-Dodgy On The Radio,Dodgy,241.9ø
Revolution,The Collection,Dodgy,204.0ø
One Day,So Far On Three Wheels-Dodgy On The Radio,Dodgy,251.1ø
Melodies Haunt You,So Far On Three Wheels-Dodgy On The Radio,Dodgy,212.8ø
Grassman,So Far On Three Wheels-Dodgy On The Radio,Dodgy,407.4ø
Crossroads,So Far On Three Wheels-Dodgy On The Radio,Dodgy,243.9ø
All The Time In The World,The Collection,Dodgy,161.3ø
Stumbling,RAW,Jimmy Barnes,243.2ø
Going Down Alone,RAW,Jimmy Barnes,308.3ø
Change Of Heart,Live At The Chapel,Jimmy Barnes,273.4ø
Blue Period (Acoustic),Smithereens 11,The Smithereens,177.1ø
Blood & Roses,80s Hits Live!,The Smithereens,323.4ø
Tell You Why,Strapped Live!,The Pietasters,249.1ø
Something Better,Strapped Live!,The Pietasters,237.2ø
Same Old Song,Oolooloo,The Pietasters,180.5ø
Pleasure Bribe,Oolooloo,The Pietasters,230.3ø
Night Before,Comply,The Pietasters,182.2ø
Movin On Up,Oolooloo,The Pietasters,245.3ø
Girl Take It Easy,Oolooloo,The Pietasters,301.5ø
Freak Show,Strapped Live!,The Pietasters,177.3ø
Can I Change My Mind,Oolooloo,The Pietasters,354.4ø
Biblical Sense,Strapped Live!,The Pietasters,188.3ø
Scatman's World,Get The Party Started: Essential Pop and Dance Anthems,Scatman John,220.7ø
Scatman (Ski-Ba-Bop-Ba-Dop-Bop),The Pop Years 1994 - 1995,Scatman John,212.2ø
What's The Matter Now?,Queen Of The Blues: Volume 1 D,Bessie Smith,167.9ø
Squeeze Me,Queen Of The Blues: Volume 1 D,Bessie Smith,173.3ø
Sobbin' Hearted Blues,Harlem Jazz (Louis Armstrong In New York Volume 2 1924-25),Bessie Smith,182.4ø
One and Two Blues,Empress of the Blues - Disc 2,Bessie Smith,173.9ø
Love Me Daddy Blues,Queen Of The Blues: Volume 1 C,Bessie Smith,190.5ø
I've Been Mistreated And I Don't Like It,Queen Of The Blues: Volume 1 D,Bessie Smith,179.8ø
Hard Driving Papa,Essential Bessie Smith Vol 1,Bessie Smith,177.9ø
Dying Gambler's Blues,Midnight Blues - The Complete Recordings 1923 - 1931,Bessie Smith,179.7ø
Dixie Flyer Blues,I Ain't Gonna Play No Second Fiddle,Bessie Smith,189.1ø
Tell Me_ Sad,Lamprey,Bettie Serveert,318.4ø
Re-Feel - It,Lamprey,Bettie Serveert,238.3ø
Ray Ray Rain,Lamprey,Bettie Serveert,262.2ø
Keepsake,lamprey,Bettie Serveert,379.6ø
D. Feathers,Lamprey,Bettie Serveert,332.7ø
Cybor D,Lamprey,Bettie Serveert,241.8ø
Crutches,Crutches,Bettie Serveert,292.3ø
21 Days,Lamprey,Bettie Serveert,203.9ø
Magic Carpet Ride,TEPPAN-YAKI A Collection Of Remixes,Mighty Dub Katz,294.6ø
You Faded,Better Days Will Haunt You,Chavez,167.0ø
The Nerve,Better Days Will Haunt You,Chavez,184.3ø
The Ghost By The Sea,Better Days Will Haunt You,Chavez,242.8ø
The Flaming Gong,Better Days Will Haunt You,Chavez,113.8ø
Repeat The Ending,Better Days Will Haunt You,Chavez,296.0ø
Relaxed Fit,Better Days Will Haunt You,Chavez,280.1ø
Pentagram Ring,Better Days Will Haunt You,Chavez,146.2ø
Peeled Out Too Late,Better Days Will Haunt You,Chavez,216.3ø
Nailed To The Blank Spot,Better Days Will Haunt You,Chavez,127.1ø
Laugh Track,Better Days Will Haunt You,Chavez,238.3ø
Hack The Sides Away,Better Days Will Haunt You,Chavez,197.8ø
Break Up Your Band,Better Days Will Haunt You,Chavez,177.2ø
Never Get Enough,Sayin' It and Doin' It,Bobby Byrd,230.9ø
Madrona,Best Of David Lanz,David Lanz|Eric Tingstad|Nancy Rumbel,221.0ø
Vete,Vete,Lucybell,220.5ø
Rodar,Peces,Lucybell,194.8ø
Que No Me Vengan Con Paraisos,Peces,Lucybell,168.1ø
Lunas,Peces,Lucybell,163.2ø
De sudor y ternura,Sesion Futura,Lucybell,266.8ø
Cuando Respiro En Tu Boca,Cuando Respiro En Tu Boca,Lucybell,209.9ø
Angeles Siameses,Peces,Lucybell,203.4ø
Our Brightest New Year,Hopeless single,The Wrens,262.6ø
Hey Girl,Hey Girl,The Wrens,144.7ø
C'Est La Vie,Hey Girl,The Wrens,146.4ø
Paradise,Roots And Wings,Vaya Con Dios,204.2ø
Don't Hate You Anymore,Roots And Wings,Vaya Con Dios,279.9ø
Don't Break My Heart,The Best Of Vaya Con Dios,Vaya Con Dios,264.0ø
Fallin' In Love,Frank Farian -  Summer Hits,La Bouche,211.3ø
Be My Lover,Frank Farian -  Summer Hits,La Bouche,240.8ø
Tan Bien Que Estaba,Tesoros De Coleccion,Los Palominos,186.7ø
Las Nubes,Tesoros De Coleccion,Los Palominos,278.6ø
De Rodillas,Tesoros De Coleccion,Los Palominos,194.8ø
4 Day Creep,One More Time For The Ol' Tosser - Steve Marriott Memorial Concert London Astoria 2001,Humble Pie,213.7ø
Serve,Mixing 9ties - Dirk Da Davo Dj Mix,The Neon Judgement,243.0ø
Shut My Mouth,Sympathy Sessions,Oblivians,116.3ø
Never Change,Best of the Worst (93-97),Oblivians,209.9ø
Mad Lover,Best of the Worst (93-97),Oblivians,97.5ø
Happy Blues,Sympathy Sessions,Oblivians,185.5ø
Feel Real Good,Sympathy Sessions,Oblivians,139.3ø
Io Sono,Ehii!Negrita,Negrita,297.3ø
Voikukkaseppele,Romeo ja Julia,Movetron,293.9ø
Valkoinen valhe,Romeo ja Julia,Movetron,220.6ø
Romeo & Juliet,Romeo ja Julia,Movetron,302.6ø
Ristinolla,Romeo ja Julia,Movetron,259.3ø
Nousin Kyytiin,Romeo ja Julia,Movetron,271.5ø
Eden,Romeo ja Julia,Movetron,258.0ø
Alla Koivupuun,Romeo ja Julia,Movetron,208.9ø
Mami El Negro,DJ Laz,DJ Laz,229.4ø
The Time Is Now (The Time Is Now Album Version),The Time Is Now,Twila Paris,404.2ø
The Time Is Now,Greatest Hits (2008),Twila Paris,329.0ø
Nothing But Love (Cry For The Desert Album Version),The Time Is Now,Twila Paris,350.2ø
Tonite'S Tha Night,Young_ Rich & Dangerous,Kris Kross,221.9ø
Real Hip-Hop (Pete Rock Remix),Rhino-Hi-Five: Das EFX,Das EFX,256.9ø
What Might Have Been (Album Version),Greatest Hits,LITTLE TEXAS,238.2ø
Some Guys Have All The Love (Album Version),Greatest Hits,LITTLE TEXAS,173.8ø
Peaceful Easy Feeling (Album Version),Greatest Hits,LITTLE TEXAS,258.3ø
Life Goes On (Album Version),Greatest Hits,LITTLE TEXAS,158.4ø
I'd Rather Miss You (Album Version),Greatest Hits,LITTLE TEXAS,235.4ø
First Time For Everything (Album Version),Greatest Hits,LITTLE TEXAS,241.8ø
Country Crazy (Album Version),Greatest Hits,LITTLE TEXAS,225.8ø
Piove,Canzoniere '59 (Canzoni originali del 1959),Domenico Modugno,177.4ø
Never Dis Di Man,Strictly The Best Vol. 16,Sanchez,242.1ø
Zion,Volume V - Believe,Soul II Soul,248.9ø
Sunday,Volume V - Believe,Soul II Soul Featuring Caron Wheeler,277.6ø
Ride On,Volume V - Believe,Soul II Soul Featuring Caron Wheeler,252.8ø
Pride,Volume V - Believe,Soul II Soul,282.9ø
Love Enuff,Volume V - Believe,Soul II Soul,316.7ø
How Long,Volume V - Believe,Soul II Soul,239.7ø
Game Dunn,Volume V - Believe,Soul II Soul,113.2ø
Feeling,Volume V - Believe,Soul II Soul Featuring Caron Wheeler,348.7ø
Don't You Dream,Volume V - Believe,Soul II Soul,259.2ø
Be A Man,Volume V - Believe,Soul II Soul,217.9ø
B Groove,Volume V - Believe,Soul II Soul,163.3ø
Something I Don?t Know,Behind Bars,88 Fingers Louie,130.1ø
Smart Enough To Run,Behind Bars,88 Fingers Louie,186.0ø
Outright Lies,Behind Bars,88 Fingers Louie,166.9ø
My Little World,Behind Bars,88 Fingers Louie,203.3ø
Irreparable Damage,Up Your Ass,88 Fingers Louie,225.5ø
I Hate Myself,Behind Bars,88 Fingers Louie,587.1ø
Had My Chance,Behind Bars,88 Fingers Louie,173.8ø
Family Resemblance,Behind Bars,88 Fingers Louie,159.1ø
Your Sound,Your Sound,J Majik,371.2ø
The Spell,Arabian Nights/The Spell,J Majik,397.7ø
Arabian Nights,Arabian Nights/The Spell,J Majik,441.3ø
Yoka,Wapi Yo,Lokua Kanza,188.7ø
Wapi Yo,Begegnungen Live,Lokua Kanza;Peter Maffay,274.0ø
Shadow Dancer,Wapi Yo,Lokua Kanza,211.5ø
Reunion,Wapi Yo,Lokua Kanza,188.3ø
Mungu,Wapi Yo,Lokua Kanza,66.8ø
Liteya,Wapi Yo,Lokua Kanza,170.9ø
Kumba Ngai,Wapi Yo,Lokua Kanza,154.0ø
Just To Say I Love You,Wapi Yo,Lokua Kanza,196.2ø
C'Est Ma Terre,Wapi Yo,Lokua Kanza,162.4ø
Let's Get Started,The Best Of In The Summertime,Mungo Jerry,224.9ø
Lana,The Best Of In The Summertime,Mungo Jerry,220.0ø
It's A Secret,The Best Of In The Summertime,Mungo Jerry,193.9ø
Forgotten Land,The Best Of In The Summertime,Mungo Jerry,198.2ø
Feels Like I'm In Love,In The Summertime - Greatest Hits,Mungo Jerry,203.2ø
Duke Street Stomp,In The Summertime - Greatest Hits,Mungo Jerry,166.7ø
Do Right Woman Do Right Man,The Sounds Of Philadelphia,THE THREE DEGREES,205.1ø
Na Na Na,Long Odds And Out-takes,Ian Hunter,253.8ø
Thunder,Dave Clarke Live,Dave Clarke,230.0ø
Sweetie,Sly & Robbie present Hail Up The Taxi,Chaka Demus & Pliers,237.3ø
Waydown,Happy Days,Catherine Wheel,194.1ø
Shocking,Happy Days,Catherine Wheel,238.5ø
Receive,Happy Days,Catherine Wheel,213.7ø
My Exhibition,Happy Days,Catherine Wheel,147.0ø
Love Tips Up,Happy Days,Catherine Wheel,235.3ø
Little Muscle,Happy Days,Catherine Wheel,184.3ø
Kill My Soul,Happy Days,Catherine Wheel,310.9ø
Judy Staring At The Sun,Happy Days,Catherine Wheel | Tanya Donelly,236.9ø
Hole,Happy Days,Catherine Wheel,229.8ø
Heal,Happy Days,Catherine Wheel,369.6ø
God Inside My Head,Happy Days,Catherine Wheel,232.4ø
Fizzy Love,Happy Days,Catherine Wheel,214.6ø
Empty Head,Happy Days,Catherine Wheel,192.4ø
Eat My Dust You Insensitive F***,Happy Days,Catherine Wheel,486.2ø
United We Stand,The Hit Singles Collection,Sonny & Cher,159.1ø
The Greatest Show On Earth,Greatest Hits:  Sonny & Cher,Sonny & Cher,228.8ø
Mama Was A Rock And Roll Singer Papa Used To Write All Her Songs,Greatest Hits:  Sonny & Cher,Sonny & Cher,221.2ø
Originale Radicale Musicale,Originale Radicale Musicale,Molella,238.4ø
Something Just Flew Over My Head,I Was A Mod Before You Was A Mod,Television Personalities,211.3ø
I Was A Mod Before You Was A Mod,I Was A Mod Before You Was A Mod,Television Personalities,182.5ø
Haunted,I Was A Mod Before You Was A Mod,Television Personalities,180.2ø
As John Belushi Said,I Was A Mod Before You Was A Mod,Television Personalities,207.2ø
A Long Time Gone,I Was A Mod Before You Was A Mod,Television Personalities,201.5ø
Hell's Wind Staff / Killah Hills 10304,Liquid Swords,Genius|GZA,308.6ø
Touch Me,Touch Me remixes,Samantha Fox,363.8ø
Ciara,Dreams in America,Luka Bloom,137.3ø
Waltz For My Grandchildren,Arete,Eddie Palmieri,471.3ø
Dooby Dooby Wah,The Very Best Of Ritchie Valens,Ritchie Valens,116.0ø
Voices of Light/XII. The Final Walk,Voices of Light,Anonymous 4;Netherlands Radio Choir;Netherlands Radio Philharmonic;Steven Mercurio,180.0ø
Conductus: Ave Maria gracia plena,The Lily & The Lamb - chant & polyphony from medieval England,Anonymous 4,126.5ø
Love Pains,Love Pains,Yvonne Elliman,440.1ø
Superstar DJ,Moonshine Mixed Vol. 1,Cirrus,303.3ø
Future,Drop The Break,Cirrus,365.0ø
Where Do We Go,Receiving The Gift Of Flavor,The Urge,250.6ø
Violent Opposition,Receiving The Gift Of Flavor,The Urge,260.1ø
Take Away,Receiving The Gift Of Flavor,The Urge,218.4ø
Open All Night,Receiving The Gift Of Flavor,The Urge,157.0ø
It's Gettin' Hectic,Receiving The Gift Of Flavor,The Urge,158.0ø
I Remember,Receiving The Gift Of Flavor,The Urge,183.6ø
Frying Pan,Receiving The Gift Of Flavor,The Urge,151.1ø
Drunk Asshole,Receiving The Gift Of Flavor,The Urge,115.0ø
Don't Ask Why,Receiving The Gift Of Flavor,The Urge,182.1ø
Dirty Rat,Receiving The Gift Of Flavor,The Urge,130.6ø
Damn That Shit Is Good,Receiving The Gift Of Flavor,The Urge,105.1ø
Brainless,Receiving The Gift Of Flavor,The Urge,189.2ø
All Washed Up,Receiving The Gift Of Flavor,The Urge,202.7ø
Watch Out,For The Bleeders,Vision of Disorder,132.7ø
Choke,For The Bleeders,Vision of Disorder,148.9ø
Beneath The Green,For The Bleeders,Vision of Disorder,246.6ø
True Believers,Wreck Room: Safe House Sampler Vol.3,Half Japanese,121.5ø
Lucky Ones,Hot,Half Japanese,336.4ø
Taxi Girl,Forever Blue,Blue System,237.4ø
Tomorrow Never Knows (Album),Plastic Green Head,Trouble,329.5ø
Til The End Of Time (Album),Plastic Green Head,Trouble,247.1ø
The Eye (Album),Plastic Green Head,Trouble,260.6ø
The Eye,Live In Los Angeles,Trouble,289.6ø
Requiem (Album),Plastic Green Head,Trouble,294.1ø
Porpoise Song (Album),Plastic Green Head,Trouble,277.2ø
Plastic Green Head (Album),Plastic Green Head,Trouble,215.9ø
Opium Eater (Album),Plastic Green Head,Trouble,265.4ø
Long Shadows Fall (Album),Plastic Green Head,Trouble,217.8ø
Hear The Earth (Album),Plastic Green Head,Trouble,239.2ø
Flowers,Unplugged,Trouble,298.1ø
Below Me (Album),Plastic Green Head,Trouble,159.9ø
Another Day (Album),Plastic Green Head,Trouble,293.6ø
White Belly (live),Seal My Fate,Belly,235.8ø
Untitled And Unsung (live),Seal My Fate,Belly,246.1ø
The Bees (live),Seal My Fate,Belly,325.3ø
Super-Connected (Edit),Super-Connected,Belly,235.4ø
Seal My Fate (Live),Seal My Fate,Belly,266.9ø
Diamond Rib Cage,Super-Connected,Belly,227.1ø
Broken,Sweet Ride - Best Of Belly,Belly,244.3ø
You're Not The 1,Groove Theory,Groove Theory,265.4ø
Time Flies,Groove Theory,Groove Theory,255.1ø
Tell Me,Groove Theory,Groove Theory,236.1ø
Ride,Groove Theory,Groove Theory,309.1ø
Keep Tryin',Groove Theory,Groove Theory,262.5ø
Hey U,Groove Theory,Groove Theory,394.6ø
Hello_ It's Me,Groove Theory,Groove Theory,303.8ø
Good 2 Me,Groove Theory,Groove Theory,252.7ø
Didja Know,Groove Theory,Groove Theory,236.4ø
Come Home,Groove Theory,Groove Theory,280.2ø
Boy at The Window,Groove Theory,Groove Theory,313.9ø
Baby Luv,Groove Theory,Groove Theory,287.9ø
10 Minute High,Groove Theory,Groove Theory,247.8ø
Land Of Dreaming,Generation Of Love,Masterboy,243.0ø
Give Me Your Love,Generation Of Love,Masterboy,253.0ø
Get It On,Generation Of Love,Masterboy,217.4ø
Generation Of Love,Generation Of Love,Masterboy,219.3ø
Feel The Force,Generation Of Love,Masterboy,322.0ø
Feel The Fire,Generation Of Love,Masterboy,264.6ø
Baby Let It Be,Generation Of Love,Masterboy,246.0ø
Anybody (Movin' On),Generation Of Love,Masterboy,234.1ø
Give A Little Love,Greatest Hits,Albert Hammond;Albert West,205.2ø
Candle Light_ Sweet Candle Light,Greatest Hits,Albert Hammond,150.5ø
Murder of Life,Psycho Civilized,Stigmata,300.6ø
Will You Think Of Me,Some Rainy Morning,The Robert Cray Band,329.1ø
Love Well Spent,Some Rainy Morning,Robert Cray,287.2ø
Snowbound,Hallmarks: The Best Of Jim Hall (1971-2000),Jim Hall,380.4ø
Sanacore,Venite! Venite!,Almamegretta,349.0ø
Maje,Venite! Venite!,Almamegretta,316.7ø
Disco Cubizm (Daft Punk Remix),Versatile 98,I:Cube,485.8ø
Web of Sound,The Glamour,The Comsat Angels,231.9ø
Valley of the Nile,The Glamour,The Comsat Angels,270.8ø
The Niala Game,The Glamour,The Comsat Angels,265.8ø
The Glamour,The Glamour,The Comsat Angels,195.3ø
Spaced,The Glamour,The Comsat Angels,522.4ø
Slayer of the Real,The Glamour,The Comsat Angels,260.9ø
Sailor,The Glamour,The Comsat Angels,202.5ø
Psychedelic Dungeon,The Glamour,The Comsat Angels,236.6ø
Oblivion,The Glamour,The Comsat Angels,458.1ø
Anjelica,The Glamour,The Comsat Angels,245.0ø
Sitting On Top Of The World,Amanda Marshall,Amanda Marshall,259.6ø
Promises,Amanda Marshall,Amanda Marshall,322.6ø
Let It Rain,Amanda Marshall,Amanda Marshall,274.3ø
Last Exit To Eden,Amanda Marshall,Amanda Marshall,324.2ø
Dark Horse,Amanda Marshall,Amanda Marshall,337.8ø
Birmingham,Amanda Marshall,Amanda Marshall,321.9ø
Beautiful Goodbye,Amanda Marshall,Amanda Marshall,317.1ø
Mucho Mejor,Palabras Mas_ Palabras Menos,Los Rodriguez,236.0ø
La Puerta De Al Lado,Palabras Mas_ Palabras Menos,Los Rodriguez,283.5ø
En Un Hotel De Mil Estrellas,Palabras Mas_ Palabras Menos,Los Rodriguez,257.0ø
Your Loving Arms,Deadline For My Memories,Billie Ray Martin,398.2ø
You And I (Keep Holding On),Deadline For My Memories,Billie Ray Martin,280.3ø
We Shall Be True,Deadline For My Memories,Billie Ray Martin,280.3ø
True Moments Of My World,Deadline For My Memories,Billie Ray Martin,324.2ø
Still Waters,Deadline For My Memories,Billie Ray Martin,308.5ø
Space Oasis,Deadline For My Memories,Billie Ray Martin,305.6ø
Running Around Town,Deadline For My Memories,Billie Ray Martin,266.2ø
Imitation Of Life,Deadline For My Memories,Billie Ray Martin,267.6ø
I Try,Deadline For My Memories,Billie Ray Martin,198.5ø
Hands Up And Amen,Deadline For My Memories,Billie Ray Martin,328.9ø
Deadline For My Memories,Deadline For My Memories,Billie Ray Martin,299.6ø
Big Tears And Make-Up,Deadline For My Memories,Billie Ray Martin,253.4ø
Whirl Keeps Turning (Vocal Remix),Whirl Keeps Turning,Jhelisa,369.7ø
Whirl Keeps Turning (Radio Edit),Whirl Keeps Turning,Jhelisa,227.1ø
Whirl Keeps Turning (Outside Remix),Whirl Keeps Turning,Jhelisa,267.1ø
Sweet Dreams,Galactica Moods (The Acoustic EP),Jhelisa,325.1ø
Secret Place (Drum and Bass),Whirl Keeps Turning,Jhelisa,418.7ø
Secret Dub,Galactica Dub,Jhelisa,422.8ø
Friendly Pressure (Radio Edit),Friendly Pressure,Jhelisa,272.5ø
Friendly Pressure (Quiet Storm Mix),Friendly Pressure (Sunship Remixes),Jhelisa,355.3ø
Friendly Pressure (Cool Breeze Remix),Friendly Pressure,Jhelisa,349.3ø
Friendly Pressure (Cool Breeze Instrumental),Friendly Pressure,Jhelisa,350.9ø
Friendly Pressure (Beaumont Hannant Beautifully Bare Mix),Friendly Pressure,Jhelisa,338.1ø
Friendly Pressure (Album Instrumental),Friendly Pressure,Jhelisa,367.7ø
Rag Doll,Spanning The Years,Steeleye Span,197.3ø
Where I Ought To Be,The Essential Skeeter Davis,Skeeter Davis,164.8ø
What Does It Take (To Keep A Man Like You Satisfied),The Essential Skeeter Davis,Skeeter Davis,156.8ø
The One You Slip Around With,The Essential Skeeter Davis,Skeeter Davis,165.0ø
Optimistic,The Essential Skeeter Davis,Skeeter Davis,119.8ø
No_ Never,The Essential Skeeter Davis,Skeeter Davis,125.1ø
Let Me Get Close To You,The Essential Skeeter Davis,Skeeter Davis,152.6ø
I'm Saving My Love,The Essential Skeeter Davis,Skeeter Davis,120.0ø
I'm A Lover (Not A Fighter),The Essential Skeeter Davis,Skeeter Davis,136.9ø
Gonna Get Along Without You Now,The Essential Skeeter Davis,Skeeter Davis,141.4ø
Fuel To The Flame,The Essential Skeeter Davis,Skeeter Davis,163.9ø
Bus Fare To Kentucky,The Essential Skeeter Davis,Skeeter Davis,177.8ø
Am I That Easy To Forget?,The Essential Skeeter Davis,Skeeter Davis,126.9ø
Am I That Easy To Forget,Queens Of Country,Skeeter Davis,125.8ø
Weary,Lie Of The Land,Show Of Hands,122.0ø
The Hunter,Live At The Royal Albert,Show Of Hands,307.0ø
Safe As Houses,Lie Of The Land,Show Of Hands,199.3ø
Ratcliffe Highway,Lie Of The Land,Show Of Hands,292.4ø
M Ferguson,Lie Of The Land,Show Of Hands,131.0ø
Exile,Live,Show Of Hands,306.7ø
Captains,As You Were,Show Of Hands,273.7ø
Youre So High - Live,Live,Albert Collins,388.8ø
You Accuse Me - Live,Live,Albert Collins,504.5ø
Too Many Dirty Dishes - Live,Live,Albert Collins,266.0ø
Playing With My Mind - Live,Live,Albert Collins,483.6ø
Icy Blue - Live,Live,Albert Collins,347.6ø
I Get The Feeling - Live,Live,Albert Collins,558.9ø
Angel Of Mercy - Live,Live,Albert Collins,580.0ø
'S Wonderful,Early Jazz Years,Quincy Jones,194.1ø
Saturday To Sunday [Remastered Version],Zeitgeist,The Levellers,191.6ø
Maid On The River [Remastered Version],Zeitgeist,The Levellers,231.9ø
Just The One [Remastered Version],Zeitgeist,The Levellers,102.7ø
Haven't Made It [Remastered Version],Zeitgeist,The Levellers,180.5ø
Exodus,Live At The Royal Albert Hall,Levellers,253.5ø
Swim,Drive,Bic Runga,284.2ø
Drive,Try To Remember Everything,Bic Runga;Dave Dobbyn;Tim Finn,180.2ø
Rock Me,Strawberry Jam,The Paul Butterfield Blues Band,548.0ø
Najibullah headless,The Inspirational Sounds Of Muslimgauze,Muslimgauze,323.0ø
Hammam Jackal,The Inspirational Sounds Of Muslimgauze,Muslimgauze,154.0ø
Azzazin,The Inspirational Sounds Of Muslimgauze,Muslimgauze,302.3ø
Right Now,Naked Regression: Recordings 1991-1994,Naked Aggression,178.2ø
Ritual (Spoken Protest),Soul Arch,Downset,341.2ø
Breed Tha Killa,Soul Arch,Downset,175.0ø
Body Cry,Soul Arch,Downset,292.6ø
What's New,The Street Of Dreams,Joey Defrancesco,327.9ø
Twisted Blues,The Street Of Dreams,Joey Defrancesco,225.1ø
Stop Leading Me On,The Street Of Dreams,Joey Defrancesco,202.2ø
Moanin',The Street Of Dreams,Joey Defrancesco,345.7ø
Incognito,The Street Of Dreams,Joey Defrancesco,366.7ø
A Real Goodun',The Street Of Dreams,Joey Defrancesco,427.2ø
Swell,Eternity Road (Best Of),Lowlife,282.5ø
She's A Machine,Ultravox!/ Visage/ Soft Cell,Visage,289.9ø
Wish Me Well,Memphis Slim U.S.A.,Memphis Slim,183.1ø
Sassy Mae,Fip_ Fil And Fim,Memphis Slim,245.2ø
Lend Me Your Love,Rockin' This House: Chicago Blues Piano 1946-1953_ CD A,Memphis Slim,178.7ø
Mandolin Rain,I Said a Prayer,Pam Tillis,230.8ø
Sneaky Flutes 7,Sneaky Flutes,Swirlies,47.8ø
Sneaky Flutes 6,Sneaky Flutes,Swirlies,150.9ø
Sneaky Flutes 4,Sneaky Flutes,Swirlies,118.1ø
Sneaky Flutes 2,Sneaky Flutes,Swirlies,245.5ø
Never Too Late,Funk Masters: Johnny G. Is Back,"Johnny ""Guitar"" Watson",334.0ø
Johnny G. Is Back,Funk Masters: Johnny G. Is Back,"Johnny ""Guitar"" Watson",316.1ø
It Takes 2,Funk Masters: Johnny G. Is Back,"Johnny ""Guitar"" Watson",297.7ø
I Don't Think So,Funk Masters: Johnny G. Is Back,"Johnny ""Guitar"" Watson",325.3ø
